#kW,Volts,Frequency,Phase,Parameter Group,Voltage Code,Emission,Unit Voltage Code,Engine,Fuel,Fuel Consumption(3), units
# Unit Voltage Code: A = 120/240 1 Phase, G = 120 /208 3 Phase, J = 120/240 3 Phase
#                    K = 277/480 3 Phase, M= 110/220 1 Phase 50Hz, R = 231/400 3 Phase
12,220,50,1,10,12312,N,M,2.3 L,Diesel,0.105,0.547,1.64,gal
15,240,60,1,5,24,N,A,2.3 L,Diesel,0.015,0.251,0.24,gal
15,208,60,3,5,2072,N,G,2.3 L,Diesel,0.015,0.251,0.24,gal
15,240,60,3,5,4120,N,J,2.3 L,Diesel,0.015,0.251,0.24,gal
16,220,50,1,7,12312,N,M,2.3 L,Diesel,0.2325,0.3685,2.2825,gal
20,240,60,1,2,24,N,A,2.3 L,Diesel,0.02,0.34,0.305,gal
20,208,60,3,2,2072,N,G,2.3 L,Diesel,0.02,0.34,0.305,gal
20,240,60,3,2,4120,N,J,2.3 L,Diesel,0.02,0.34,0.305,gal
22,240,60,1,17,24,N,A,2.4 L,NG/LPV,-0.1,1.26,-0.05,gal
22,208,60,3,17,2057,N,G,2.4 L,NG/LPV,-0.1,1.26,-0.05,gal
22,240,60,3,17,4112,N,J,2.4 L,NG/LPV,-0.1,1.26,-0.05,gal
24,220,50,1,8,12312,N,M,2.4 L,Diesel,0.3775,0.3855,2.9075,gal
24,400,50,3,8,10264,N,R,2.4 L,Diesel,0.3775,0.3855,2.9075,gal
25,240,60,1,14,16,N,A,1.5 L,NG/LPV,0.075,0.235,2.575,gal
25,208,60,3,14,2064,N,G,1.5 L,NG/LPV,0.075,0.235,2.575,gal
25,240,60,3,14,4112,N,J,1.5 L,NG/LPV,0.075,0.235,2.575,gal
27,240,60,1,15,24,N,A,2.4 L,NG/LPV,-0.05,1.19,-0.05,gal
27,208,60,3,15,2072,N,G,2.4 L,NG/LPV,-0.05,1.19,-0.05,gal
27,240,60,3,15,4112,N,J,2.4 L,NG/LPV,-0.05,1.19,-0.05,gal
30,240,60,1,3,24,N,A,2.4 L,Diesel,0.0625,0.2845,0.5875,gal
30,240,60,1,21,24,N,A,1.5 L,NG/LPV,0.025,0.805,1.775,gal
30,208,60,3,3,2072,N,G,2.4 L,Diesel,0.0625,0.2845,0.5875,gal
30,208,60,3,21,2072,N,G,1.5 L,NG/LPV,,0.025,0.805,1.775,gal
30,240,60,3,3,4120,N,J,2.4 L,Diesel,0.0625,0.2845,0.5875,gal
30,240,60,3,21,4107,N,J,1.5 L,NG/LPV,,0.025,0.805,1.775,gal
30,480,60,3,3,6168,N,K,2.4 L,Diesel,0.0625,0.2845,0.5875,gal
32,240,60,1,20,16,N,A,2.4 L,NG/LPV,0.025,0.845,-0.075,gal
32,208,60,3,20,2064,N,G,2.4 L,NG/LPV,0.025,0.845,-0.075,gal
32,240,60,3,20,4112,N,J,2.4 L,NG/LPV,0.025,0.845,-0.075,gal
32,480,60,3,20,6155,N,K,2.4 L,NG/LPV,0.025,0.845,-0.075,gal
